frameCount	 n	 frameCond	 stimPosition	 experimentTime	 experimentInterval	 frameT	 interval
68	 68	 2	 635.0	 2.75982618332	 0.0399930477142	 2.76	 0.04
69	 69	 2	 635.0	 2.79980897903	 0.0399827957153	 2.8	 0.04
70	 70	 2	 624.0	 2.8398270607	 0.040018081665	 2.84	 0.04
71	 71	 2	 624.0	 2.87980604172	 0.0399789810181	 2.88	 0.04
72	 72	 2	 613.0	 2.91983103752	 0.0400249958038	 2.92	 0.04
73	 73	 2	 613.0	 2.95982408524	 0.0399930477142	 2.96	 0.04
74	 74	 2	 601.0	 2.9998190403	 0.0399949550629	 3.0	 0.04
75	 75	 2	 601.0	 3.03982615471	 0.0400071144104	 3.04	 0.04
76	 76	 2	 590.0	 3.07981014252	 0.0399839878082	 3.08	 0.04
77	 77	 2	 590.0	 3.11981415749	 0.0400040149689	 3.12	 0.04
78	 78	 2	 579.0	 3.1598110199	 0.0399968624115	 3.16	 0.04
79	 79	 2	 579.0	 3.19980812073	 0.0399971008301	 3.2	 0.04
80	 80	 2	 567.0	 3.23981308937	 0.0400049686432	 3.24	 0.04
81	 81	 2	 567.0	 3.27978110313	 0.0399680137634	 3.28	 0.04
82	 82	 2	 556.0	 3.31982016563	 0.0400390625	 3.32	 0.04
83	 83	 2	 556.0	 3.35979318619	 0.0399730205536	 3.36	 0.04
84	 84	 2	 545.0	 3.39980602264	 0.0400128364563	 3.4	 0.04
85	 85	 2	 545.0	 3.43983006477	 0.0400240421295	 3.44	 0.04
86	 86	 2	 534.0	 3.47980713844	 0.0399770736694	 3.48	 0.04
87	 87	 2	 534.0	 3.51988315582	 0.0400760173798	 3.52	 0.04
88	 88	 2	 522.0	 3.55980396271	 0.0399208068848	 3.56	 0.04
89	 89	 2	 522.0	 3.59979295731	 0.0399889945984	 3.6	 0.04
90	 90	 2	 511.0	 3.63982105255	 0.0400280952454	 3.64	 0.04
91	 91	 2	 511.0	 3.67982912064	 0.0400080680847	 3.68	 0.04
92	 92	 2	 500.0	 3.71983718872	 0.0400080680847	 3.72	 0.04
93	 93	 2	 500.0	 3.75982904434	 0.0399918556213	 3.76	 0.04
94	 94	 2	 489.0	 3.79981613159	 0.0399870872498	 3.8	 0.04
95	 95	 2	 489.0	 3.83993196487	 0.0401158332825	 3.84	 0.04
96	 96	 2	 477.0	 3.87984108925	 0.0399091243744	 3.88	 0.04
97	 97	 2	 477.0	 3.91984796524	 0.0400068759918	 3.92	 0.04
98	 98	 2	 466.0	 3.95983600616	 0.0399880409241	 3.96	 0.04
99	 99	 2	 466.0	 3.99980902672	 0.0399730205536	 4.0	 0.04
100	 100	 2	 455.0	 4.039935112	 0.0401260852814	 4.04	 0.04
101	 101	 2	 455.0	 4.07979011536	 0.0398550033569	 4.08	 0.04
102	 102	 2	 443.0	 4.11979413033	 0.0400040149689	 4.12	 0.04
103	 103	 2	 443.0	 4.15983319283	 0.0400390625	 4.16	 0.04
104	 104	 2	 432.0	 4.19979715347	 0.0399639606476	 4.2	 0.04
105	 105	 2	 432.0	 4.23978614807	 0.0399889945984	 4.24	 0.04
106	 106	 2	 421.0	 4.27978396416	 0.0399978160858	 4.28	 0.04
107	 107	 2	 421.0	 4.31976604462	 0.0399820804596	 4.32	 0.04
108	 108	 2	 410.0	 4.35983204842	 0.0400660037994	 4.36	 0.04
109	 109	 2	 410.0	 4.39983415604	 0.0400021076202	 4.4	 0.04
110	 110	 2	 398.0	 4.43980002403	 0.0399658679962	 4.44	 0.04
111	 111	 2	 398.0	 4.47977995872	 0.0399799346924	 4.48	 0.04
112	 112	 2	 387.0	 4.51979017258	 0.0400102138519	 4.52	 0.04
113	 113	 2	 387.0	 4.55979299545	 0.040002822876	 4.56	 0.04
114	 114	 2	 376.0	 4.59978604317	 0.0399930477142	 4.6	 0.04
